Team,Charm Name,Repository,Key Charm for this Team,Branch (if not the default),Notes
K8s,cinder-csi,https://github.com/canonical/cinder-csi-operator,FALSE,,
K8s,etcd,https://github.com/canonical/etcd-operator,FALSE,,
K8s,Microk8s,https://github.com/canonical/charm-microk8s,FALSE,,
MLOps,admission-webhook,https://github.com/canonical/admission-webhook-operator,FALSE,,
MLOps,argo,https://github.com/canonical/argo-operators,FALSE,,
MLOps,dex-auth,https://github.com/canonical/dex-auth-operator,FALSE,,
MLOps,envoy,https://github.com/canonical/envoy-operator,FALSE,,
MLOps,istio,https://github.com/canonical/istio-operators,FALSE,,
MLOps,katib,https://github.com/canonical/katib-operators,FALSE,,
MLOps,kfp,https://github.com/canonical/kfp-operators,FALSE,,
MLOps,knative,https://github.com/canonical/knative-operators,FALSE,,
MLOps,kserve,https://github.com/canonical/kserve-operators,FALSE,,
MLOps,kubeflow-dashboard,https://github.com/canonical/kubeflow-dashboard-operator,FALSE,,
MLOps,kubeflow-profiles,https://github.com/canonical/kubeflow-profiles-operator,FALSE,,
MLOps,kubeflow-roles,https://github.com/canonical/kubeflow-roles-operator,FALSE,,
MLOps,kubeflow-tensorboards,https://github.com/canonical/kubeflow-tensorboards-operator,FALSE,,
MLOps,kubeflow-volumes,https://github.com/canonical/kubeflow-volumes-operator,FALSE,,
MLOps,metacontroller,https://github.com/canonical/metacontroller-operator,FALSE,,
MLOps,minio,https://github.com/canonical/minio-operator,FALSE,,
MLOps,mlflow,https://github.com/canonical/mlflow-operator,FALSE,,
MLOps,mlmd,https://github.com/canonical/mlmd-operator,FALSE,,
MLOps,namespace-node-affinity,https://github.com/canonical/namespace-node-affinity-operator,FALSE,,
MLOps,notebook,https://github.com/canonical/notebook-operators,FALSE,,
MLOps,OIDC-gatekeeper,https://github.com/canonical/oidc-gatekeeper-operator,FALSE,,
MLOps,pvcviewer,https://github.com/canonical/pvcviewer-operator,FALSE,,
MLOps,training,https://github.com/canonical/training-operator,FALSE,,
Observability,Alertmanager,https://github.com/canonical/alertmanager-k8s-operator,TRUE,,
Observability,Avalanche,https://github.com/canonical/avalanche-k8s-operator,FALSE,,
Observability,Blackbox Exporter,https://github.com/canonical/blackbox-exporter-k8s-operator,FALSE,,
Observability,Catalogue,https://github.com/canonical/catalogue-k8s-operator,FALSE,,
Observability,COS Configuration,https://github.com/canonical/cos-configuration-k8s-operator,FALSE,,
Observability,COS Proxy,https://github.com/canonical/cos-proxy-operator,TRUE,,
Observability,Grafana,https://github.com/canonical/grafana-k8s-operator,TRUE,,
Observability,Grafana Agent K8s,https://github.com/canonical/grafana-agent-k8s-operator,TRUE,,
Observability,Grafana Agent Subordinate,https://github.com/canonical/grafana-agent-operator,TRUE,,
Observability,Grafana Cloud Integrator,https://github.com/canonical/grafana-cloud-integrator,FALSE,,
Observability,Loki,https://github.com/canonical/loki-k8s-operator,TRUE,,
Observability,Prometheus,https://github.com/canonical/prometheus-k8s-operator,TRUE,,
Observability,Prometheus PushGateway,https://github.com/canonical/prometheus-pushgateway-k8s-operator,FALSE,,
Observability,Prometheus Scrape Config,https://github.com/canonical/prometheus-scrape-config-k8s-operator,FALSE,,
Observability,Prometheus Scrape Target,https://github.com/canonical/prometheus-scrape-target-k8s-operator,FALSE,,
Observability,TLS Truststore,https://github.com/canonical/tls-truststore-operator,FALSE,,This is archived and shouldn't be used (e.g. tests fail)
Observability,Traefik,https://github.com/canonical/traefik-k8s-operator,TRUE,,
OpenStack,multiple charms (mono-repo),https://opendev.org/openstack/sunbeam-charms,TRUE,,
Telco,Manual TLS Certificates,https://github.com/canonical/manual-tls-certificates-operator,TRUE,,
Telco,Self Signed Certificates,https://github.com/canonical/self-signed-certificates-operator,TRUE,,
Telco,TLS Certificates Requirer,https://github.com/canonical/tls-certificates-requirer-operator,FALSE,,
Telco,Vault (K8s),https://github.com/canonical/vault-k8s-operator,TRUE,,
,airbyte-k8s-operator,https://github.com/canonical/airbyte-k8s-operator,FALSE,,
,aodh,https://opendev.org/openstack/charm-aodh,FALSE,,Added automatically from Charmhub
,aproxy-operator,https://github.com/canonical/aproxy-operator,FALSE,,
,barbican,https://opendev.org/openstack/charm-barbican,FALSE,,Added automatically from Charmhub
,barbican-vault,https://opendev.org/openstack/charm-barbican-vault,FALSE,,Added automatically from Charmhub
,calico,https://github.com/charmed-kubernetes/layer-calico,FALSE,,Added automatically from Charmhub
,cassandra,https://git.launchpad.net/cassandra-charm,FALSE,,Added automatically from Charmhub
,ceilometer,https://opendev.org/openstack/charm-ceilometer,FALSE,,Added automatically from Charmhub
,ceilometer-agent,https://opendev.org/openstack/charm-ceilometer-agent,FALSE,,Added automatically from Charmhub
,charm-ubuntu,https://github.com/canonical/charm-ubuntu,FALSE,,
,cilium,https://github.com/charmed-kubernetes/charm-cilium,FALSE,,Added automatically from Charmhub
,cinder,https://opendev.org/openstack/charm-cinder,FALSE,,Added automatically from Charmhub
,cinder-backup,https://opendev.org/openstack/charm-cinder-backup,FALSE,,Added automatically from Charmhub
,cinder-backup-swift-proxy,https://opendev.org/openstack/charm-cinder-backup-swift-proxy,FALSE,,Added automatically from Charmhub
,cinder-ceph,https://opendev.org/openstack/charm-cinder-ceph,FALSE,,Added automatically from Charmhub
,cinder-dell-powerflex,https://github.com/dell-esg/powerflex-cinder-charm,FALSE,,Added automatically from Charmhub
,cinder-lvm,https://opendev.org/openstack/charm-cinder-lvm,FALSE,,Added automatically from Charmhub
,cinder-netapp,https://opendev.org/openstack/charm-cinder-netapp,FALSE,,Added automatically from Charmhub
,cinder-powermax,https://github.com/dell-esg/powermax-cinder-charm,FALSE,,Added automatically from Charmhub
,cinder-powerstore,https://github.com/dell-esg/powerstore-cinder-charm,FALSE,,Added automatically from Charmhub
,cinder-purestorage,https://opendev.org/openstack/charm-cinder-purestorage,FALSE,,Added automatically from Charmhub
,conserver-charm,https://github.com/canonical/conserver-charm,FALSE,,
,containers-flannel,https://github.com/juju-solutions/charm-flannel,FALSE,,Added automatically from Charmhub
,containers-kubeapi-load-balancer,https://github.com/kubernetes/kubernetes,FALSE,,Added automatically from Charmhub
,designate-bind,https://opendev.org/openstack/charm-designate-bind,FALSE,,Added automatically from Charmhub
,digest-squid-auth-helper,https://github.com/canonical/digest-squid-auth-helper,FALSE,,
,dokuwiki,https://github.com/battlemidget/juju-charm-dokuwiki.rb,FALSE,,Added automatically from Charmhub
,etcd,https://github.com/canonical/charmed-etcd-operator,FALSE,,
,ganglia-node,https://git.launchpad.net/charm-ganglia-node,FALSE,,Added automatically from Charmhub
